Nom du Produit,Type,Plant?,Catégorie,Climate change,Ozone depletion,"Ionising radiation, HH","Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Ecotoxicity freshwater,Land use,Water scarcity,"Resource use, energy carriers","Resource use, mineral and metals",Climate change - fossil,Climate change - biogenic,Climate change - land use and transform.
"Oeuf, moyenne nationale, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.5755869103814442,1.3098038798852805e-07,0.2665620844941332,0.006071499665309921,4.523632513433814e-07,0.06585744003887455,0.0005031017908618731,0.012950954520549817,0.28694673930953873,4.798462925000118,400.96188632472314,3.3020419696720094,13.968748081438205,2.371812134952159e-06,1.1584318995997944,0.052750440185396714,0.36440457059625286
"Canard Engraissement,  conventionnel, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,3.341669690017513,2.6784847341340234e-07,0.7272647215406556,0.010503597450454408,7.107816421163212e-07,0.10379550863404507,0.0008807165618573337,0.0287672571372543,0.45226234797834347,10.749987627922545,788.6983811835281,8.639335236720461,31.04492705937556,4.708010657830988e-06,2.6168733931438517,0.25389924676839937,0.4708970501052616
"Dinde, conventionnel, départ ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,2.911690724871797,2.0992374083514024e-07,0.2507787590978573,0.009963867996427084,5.703549242052737e-07,0.08304511284517045,0.0008183932018814772,0.019940270314903516,0.35779985202871883,7.4445378525501456,556.42401185088,2.364797081177083,20.896928667798477,3.857729449586189e-06,2.0743742079866023,0.04754855316155998,0.789767963723635
"Dinde, Label Rouge, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,4.085732652181047,2.856661392688537e-07,0.3400732201504457,0.01356290746658249,8.895045290352947e-07,0.12934244978148374,0.0011161310816334893,0.028237490535096915,0.5598089746196809,10.169069876989079,786.6598313620549,3.2472219137516287,28.25668862247472,5.251672299773126e-06,2.9393596098165244,0.06482062969085055,1.0815524126736737
"Dinde, moyenne nationale, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,2.946911982724337,2.1219601278807344e-07,0.25345759292979464,0.010071839180557042,5.799294123518714e-07,0.08443403295334774,0.0008273253383115478,0.020189186921481063,0.36386012570616494,7.526273813396744,563.331086436051,2.391269826131552,21.117721466498768,3.899547736192119e-06,2.100323770074566,0.0480667154574987,0.7985214971922727
"Boeuf, moyenne nationale, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Bovine\Transformation,16.98564838685052,2.741868992715693e-07,0.3864369850141015,0.02091301399746108,1.3693743504517518e-06,0.20517765947017058,0.0007411213336245342,0.043836671372892856,0.9109810576985751,17.961522865630158,2526.034220291686,2.6170745393451744,24.083262300170773,5.591435929075591e-06,4.038226466488185,12.728516964749732,0.21890495561260698
"Génisse allaitante  système d'engraissement conventionnel, plus de 1,2 UGB par ha, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Bovine\Transformation,20.980552319436352,3.3600491249912244e-07,0.5812953787889538,0.0252840438432789,1.783793598399581e-06,0.2675960606666539,0.0006161056327155784,0.06157870027503509,1.1948269042228656,22.638990814976733,2574.6413118019354,3.0841385902251246,30.256772394969268,4.9361924398046276e-06,5.19890462009697,15.697056448914154,0.08459125042522476
"Le lait de vache, de lait système conventionnel, montagne, nourri à l'herbe, à la ferme / FR U",conv,0,Agricultural\Animal production\Dairy\Transformation,1.516033507628535,2.5366044670800885e-08,0.05171255612461835,0.001994591389032574,1.1365903891170173e-07,0.01709717905678174,7.371228217490713e-05,0.0028827399440123497,0.07578363434606614,1.1347246256638872,245.89296512663043,0.2938680561156182,2.594232512066994,6.373079638784744e-07,0.357132381417707,1.1586829446532285,0.00021818155759974206
"Le lait de vache, le système conventionnel, plaine du lait, du maïs ensilage 10 à 30%, à la ferme / FR U",conv,0,Agricultural\Animal production\Dairy\Transformation,1.122957364151397,2.7901883650380898e-08,0.04184710857156974,0.0017031167834512505,9.042282016630705e-08,0.01350599444001124,0.00010811560530454634,0.0040895735815177315,0.05902441552270814,1.5535739397895265,159.3382988378841,0.35421824041526684,2.4285955836075734,5.978361594532267e-07,0.276408199183258,0.7775306909275274,0.06901847404061151
"Le lait de vache, le système conventionnel, plaine de lait, du maïs ensilage 5 à 10%, à la ferme / FR U",conv,0,Agricultural\Animal production\Dairy\Transformation,1.300964497891475,2.4597542084948172e-08,0.04740954820609793,0.0018345167784335017,1.0212076612697802e-07,0.015310800769060148,7.784439897244075e-05,0.004142811978069009,0.06742671912987648,1.3274065432849702,196.06729040084662,0.2710190607244146,2.394144866945844,6.18104860076826e-07,0.29181620142956405,0.9511434319508901,0.058004864511020875
"Le lait de vache, le système conventionnel, le lait de plaine, le maïs d'ensilage plus de 30%, à la ferme / FR U",conv,0,Agricultural\Animal production\Dairy\Transformation,1.1086348655946112,2.9769359960473703e-08,0.042268208766182994,0.001746425177703657,7.997300053378098e-08,0.011981502884842215,0.00011813296200525488,0.003847404266629215,0.05202214208148424,1.5195468379469455,141.75835247483633,0.396572436285142,2.5679769901035328,6.439218793361588e-07,0.27718274913744534,0.7543288198272735,0.07712329662989217
"Le lait de vache, moyenne nationale, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Dairy\Transformation,1.182891608528413,2.8556738676380897e-08,0.04472291812007874,0.0017896580355878466,8.870027431519403e-08,0.01330315898818674,0.00010622730424876451,0.0038800428311213963,0.05817563032184065,1.46950796729955,167.9856871537722,0.3685629730367537,2.5507313067104174,6.342217701696505e-07,0.291014712962111,0.8312654916637684,0.060611403902533334
"lait de chèvre, aire de fourrage conventionnel, intensif, à la ferme / FR U",conv,0,Agricultural\Animal production\Dairy\Transformation,1.3069322244305286,4.020235193174066e-08,0.09837711278811503,0.0026206656065193095,2.390712443020952e-07,0.03435814973821537,0.0001863452441902347,0.005840137249321,0.14935821854493664,1.4832457128696848,231.561719795368,1.0344065326110325,5.389438887768297,7.541861690681108e-07,0.6150787001537654,0.6725704675837254,0.01928305669303749
"Le lait de brebis, conventionnel, système Roquefort, à la ferme / FR U",conv,0,Agricultural\Animal production\Dairy\Transformation,2.0916316368600967,4.158278598309241e-08,0.08271508456967522,0.0022875838106295775,2.662188827531223e-07,0.03908180173681968,9.601339223782655e-05,0.008706667330227392,0.17362277778729016,2.079869252938557,533.6974779400423,0.26859456792313097,4.330568324532446,7.300269531830646e-07,0.6925497094531196,1.3989397669065444,0.00014216050043271868
"Grande truite, 2-4 kg, conventionnel, départ ferme / FR U",conv,0,Agricultural\Animal production\Fish\Transformation,2.151208613396737,2.9217070164437815e-07,0.8931836841662645,0.009401493931353366,1.29264372748086e-07,0.016601950683129012,0.010349625050320393,0.04724228846457406,0.059042574807580905,2.427799665817762,186.88984568272326,17.689171213532934,38.871233350557766,2.499440604140203e-06,1.9109472062124122,0.01584718913825549,0.22441421804606837
"Bar ou daurade, 200-500g, conventionnel, en cage, à la  ferme mit BargeEI / FR U",conv,0,Agricultural\Animal production\Fish\Transformation,4.723670645940223,6.685099618832222e-07,0.5891366414472005,0.023876810346100476,2.881187590270518e-07,0.026907363424312884,0.0006176935309362867,0.2309141891283225,0.09509490795824464,9.223608460321236,224.22294208578893,1.2041572983734667,66.57186022444873,4.994921858250837e-06,4.419123829218904,0.05623742312928774,0.24830939359203208
"Bar ou daurade, 200-500g, conventionnel, en cage, à la ferme / FR U",conv,0,Agricultural\Animal production\Fish\Transformation,4.490463468417946,6.551473322167245e-07,0.5736565476974331,0.02260135086342306,2.690925788884813e-07,0.02527354969688842,0.0004486788325643698,0.2306584730977206,0.09228244714146129,8.830106674176855,221.39420958324348,1.1351733364530467,64.1401878745105,3.22946675732819e-06,4.1868852039572975,0.05598653258978216,0.2475917318708671
"Petite truite, 250-350g,  conventionnel, à la ferme / FR U",conv,0,Agricultural\Animal production\Fish\Transformation,1.747855528200435,2.780756221866055e-07,0.8485407918750268,0.008511004940954395,1.2095594229192868e-07,0.013232745415709544,0.01141048150429193,0.04348659364375163,0.048985503423366536,3.158221754551605,123.00575959397644,131.5502090750603,35.544633701673945,2.1173981334151043e-06,1.6813902667200287,0.01565814804105795,0.050807113439348975
